dataset_name,instances_no,missing_count_in_target,sampling_rate,stationary_no,non_stationary_no,first_diff_stationary_no,second_diff_stationary_no,target_skewness,target_kurtosis,lags_no,insignificant_lags_no,seasonality_components_no,fractal_dim,series_type,trend_type,pacf_01,pacf_02,pacf_03,pacf_04,pacf_05,pacf_06,pacf_07,pacf_08,pacf_09,pacf_10,percentile_0_min,percentile_0_max,percentile_0_mean,percentile_0_median,percentile_0_std,percentile_1_min,percentile_1_max,percentile_1_mean,percentile_1_median,percentile_1_std,percentile_2_min,percentile_2_max,percentile_2_mean,percentile_2_median,percentile_2_std,percentile_3_min,percentile_3_max,percentile_3_mean,percentile_3_median,percentile_3_std,percentile_4_min,percentile_4_max,percentile_4_mean,percentile_4_median,percentile_4_std,percentile_5_min,percentile_5_max,percentile_5_mean,percentile_5_median,percentile_5_std,percentile_6_min,percentile_6_max,percentile_6_mean,percentile_6_median,percentile_6_std,percentile_7_min,percentile_7_max,percentile_7_mean,percentile_7_median,percentile_7_std,percentile_8_min,percentile_8_max,percentile_8_mean,percentile_8_median,percentile_8_std,percentile_9_min,percentile_9_max,percentile_9_mean,percentile_9_median,percentile_9_std
286.csv,1201,60,360,0,1,1,0,0.337477114,0.337477114,24,5,5,-1.146347399,multiplicative,logistic,0.841616181,0.327630408,0.373433292,0.346285113,0.096862594,-0.092941672,0.110073738,0.172980094,0.008652892,-0.097258696,0,0.882794169,0.206383194,0.195238434,0.104113183,0.097449578,0.763685109,0.25505034,0.247796091,0.085167938,0.148751866,0.891194747,0.322018689,0.317699818,0.094671777,0.154393073,0.8664089,0.325786517,0.327489692,0.098917755,0.190494872,0.601934782,0.372787105,0.376047419,0.072402916,0.115873862,0.578386166,0.424539314,0.427952183,0.070786019,0.091870127,0.779862953,0.536700935,0.534933139,0.094369893,0.125658904,0.871014505,0.604540045,0.609376338,0.092559088,0.139435099,0.922785134,0.656941835,0.660304847,0.104019067,0.177142127,1,0.767408222,0.784840627,0.112137104
287.csv,14401,720,30,0,1,1,0,0.304225426,0.304225426,13,3,2,-0.905224194,multiplicative,logistic,0.861084564,0.453530496,0.295889284,0.220542686,0.181486985,0.124062674,0.093092222,0.061590302,0.048150518,0.013577033,0,0.893813453,0.209098624,0.198200898,0.111403426,0.027442092,0.869667431,0.260012209,0.250629003,0.099741748,0.058382203,0.893303028,0.315195719,0.311747878,0.081003776,0.058655274,0.879851069,0.323714736,0.316668768,0.092071986,0.056821481,0.89525223,0.365453888,0.36239026,0.084776726,0.062965651,0.895461332,0.426155984,0.423344124,0.081337495,0.070081724,0.832735078,0.530035699,0.531369206,0.081540871,0.066463757,0.886558591,0.589460472,0.591155327,0.085381772,0.064079543,0.889529403,0.642134908,0.647688685,0.09230023,0.07337209,1,0.746153744,0.755134007,0.108368198
288.csv,1321,66,360,0,1,1,0,0.289846983,0.289846983,23,8,5,-1.128392175,multiplicative,logistic,0.836798726,0.355403464,0.36515194,0.358113088,0.089047648,-0.032106803,0.10507754,0.115940321,-0.008754059,-0.052934839,0,0.914514003,0.23185272,0.225132108,0.118404601,0.079630567,0.777618479,0.284145813,0.285523796,0.077143952,0.190980602,0.905535519,0.350609173,0.334984792,0.109099139,0.093818042,0.854926588,0.352091943,0.341890675,0.08928927,0.122633785,0.535264702,0.402145476,0.40310386,0.067874262,0.172087758,0.860301061,0.496801511,0.491904495,0.092390422,0.207842953,0.795196529,0.574226136,0.577931152,0.08172821,0.347329862,0.786835398,0.638104295,0.641633781,0.071262819,0.21706994,0.924836418,0.727642937,0.734258863,0.097115964,0.153783794,1,0.795117176,0.818483144,0.135384359
289.csv,5761,288,60,1,0,0,0,2.396500047,2.396500047,23,3,8,-0.848053606,multiplicative,linear,0.550971383,0.328342453,0.178357973,0.08499981,0.032957307,-0.037873235,-0.05708435,-0.064136678,-0.025261425,-0.012228552,0.02795074,0.888380747,0.182338604,0.164011833,0.108802118,0.059503973,0.90107308,0.19985905,0.182579961,0.107341695,0.05410129,0.908210309,0.224375264,0.20167977,0.118628479,0.038919042,0.896204886,0.226837243,0.188614311,0.127319727,0.008933924,0.864930776,0.166327301,0.152855472,0.097967519,0,0.896090404,0.16331825,0.152317559,0.092378253,0.033667707,0.900411668,0.168751052,0.152700336,0.101143656,0.039008565,0.894799097,0.213896483,0.166587792,0.150807008,0.031585304,0.928552712,0.3352457,0.257479125,0.196344426,0.055713009,1,0.357654457,0.274049982,0.225523034
290.csv,12961,648,30,1,0,0,0,2.139253623,2.139253623,15,2,4,-0.907720151,multiplicative,linear,0.622536616,0.380247995,0.241910113,0.17223849,0.095492605,0.064622565,0.023318015,-0.00428477,-0.01601197,-0.028015771,0,0.967937968,0.662848997,0.749885587,0.220745711,0.059565393,0.990581478,0.679134549,0.759894407,0.210416509,0.059599087,1,0.691898426,0.767785361,0.193586352,0.074730348,0.989996361,0.788766246,0.844290933,0.154539202,0.052281885,0.978360077,0.841944719,0.860824722,0.11485991,0.062847015,0.981569267,0.841329375,0.860475984,0.119145908,0.05324604,0.996894973,0.837015918,0.860121634,0.111193722,0.055536712,0.961717165,0.797008379,0.817804311,0.109843724,0.060442442,0.975285467,0.814811829,0.834113188,0.109898267,0.095258648,0.984789953,0.835442106,0.848438895,0.095542961
291.csv,271,13,480,0,1,1,0,1.649318325,1.649318325,2,2,2,-1.093184159,multiplicative,logistic,0.108661932,0.049084827,0.52155321,-0.081329929,-0.118518587,-0.049372152,-0.054048351,-0.145833301,-0.098755937,-0.265444717,0,0.913021447,0.643331658,0.76079671,0.266544533,0.110763807,1,0.693972232,0.79099128,0.23551931,0.141820336,0.954019933,0.647124874,0.684179911,0.234329827,0.123478047,0.984119732,0.672001974,0.738001209,0.214992576,0.389145243,0.937781193,0.768194284,0.846465893,0.150816413,0.460878899,0.966626882,0.770809571,0.804628244,0.134882456,0.529062613,0.917328055,0.78412907,0.834927806,0.12022553,0.651149388,0.901645808,0.819538439,0.837652772,0.068903321,0.083996144,0.958184239,0.827446193,0.849436022,0.163304158,0.113776282,0.966461257,0.80086437,0.865147418,0.228549641
292.csv,541,27,480,0,1,1,0,2.265488821,2.265488821,4,0,3,-1.041933601,multiplicative,logistic,0.299253196,0.140065924,0.453798139,-0.020881005,-0.036836569,0.053098266,-0.030999155,-0.031413604,-0.00731705,-0.07154381,0.044717972,0.517287171,0.151753193,0.137341764,0.079936277,0.060648832,0.921034354,0.273584716,0.195666321,0.193121789,0.062648166,0.587986156,0.245624255,0.189823831,0.138412225,0.075085964,0.756282524,0.303521786,0.223434655,0.199054485,0.026665435,0.935734014,0.362715935,0.276411999,0.254514736,0.030689096,1,0.18320318,0.125994889,0.19450305,0.030721053,0.814777285,0.138849863,0.118622521,0.112574428,0.054728904,0.200225083,0.117825139,0.115126182,0.036955179,0,0.910723295,0.130098209,0.128969095,0.119137355,0.032611485,0.698109024,0.139655045,0.121880575,0.09707372
293.csv,211,10,1440,0,1,1,0,1.254224343,1.254224343,2,0,1,-0.687704591,multiplicative,logistic,0.605678713,-0.120342343,-0.094780298,0.123341695,0.389928819,0.404266119,0.350214271,0.177679858,0.097136133,-0.087738816,0,0.916267021,0.439045154,0.456567365,0.295105329,0.061604084,0.865986128,0.516353504,0.502824171,0.277866761,0.202213286,0.91453837,0.57547621,0.613480236,0.232552691,0.259668883,0.879641089,0.55183185,0.568914327,0.194807386,0.150799829,0.961699858,0.7496145,0.861380797,0.218907864,0.710604797,0.930364044,0.848875305,0.845440381,0.05019033,0.145395507,1,0.83484257,0.846122217,0.165896924,0.168369474,0.963525083,0.822568476,0.859065732,0.165188631,0.723184413,0.913942712,0.849744863,0.857452309,0.049278832,0.57812094,0.929001055,0.836412885,0.857704053,0.076572925
294.csv,1441,72,60,1,0,0,0,1.616509047,1.616509047,19,4,4,-0.727837673,multiplicative,linear,0.687760713,0.328410479,0.19497299,-0.009340978,-0.080325517,-0.152366165,-0.075922626,-0.096132492,-0.04435731,-0.007768417,0.056882588,0.974557844,0.68255533,0.780526683,0.229215811,0,0.934534172,0.68013025,0.758344031,0.221044918,0.100431988,0.96369141,0.691060309,0.777033718,0.23482586,0.08348897,0.995419018,0.700509778,0.762453647,0.203908768,0.147532294,0.972733513,0.703008835,0.759024457,0.177162384,0.068596793,1,0.756734711,0.802725977,0.162953519,0.480028381,0.962982098,0.798298235,0.822325908,0.100435403,0.228290813,0.956181484,0.82238815,0.848644881,0.104094627,0.139177232,0.946020608,0.827874444,0.847894718,0.111905969,0.125326332,0.970500834,0.839805825,0.864548547,0.140098665
295.csv,241,12,1440,0,1,1,0,1.696501564,1.696501564,2,0,2,-0.664745396,multiplicative,logistic,0.67230653,-0.061471759,-0.02808671,0.039604298,0.464744145,0.367664754,0.266557952,0.18530124,-0.193397537,-0.074423633,0.066015119,0.232808018,0.157284611,0.162257552,0.043525574,0.1109085,0.3417549,0.2017363,0.199888682,0.065946682,0.069695246,0.611200263,0.265154983,0.253418113,0.138764221,0.055662651,0.466862225,0.265047054,0.275749998,0.130974361,0.067166052,0.249701471,0.134418649,0.132325471,0.043579576,0.04827238,0.852114175,0.205711612,0.143525819,0.192994643,0,0.189468692,0.116043271,0.117799806,0.048581349,0.037874757,0.764867882,0.188961455,0.11936017,0.188771042,0.07115508,0.930187461,0.538042525,0.515515411,0.281959669,0.088685153,1,0.582036265,0.564066669,0.294258562
